Porosity,Permeability,Class,in train
0.112686476,183.6377107,1,1
0.112967304,3.2224984,2,1
0.113584137,1.178418903,3,1
0.113777215,49.82924575,1,1
0.114407013,1.220738507,2,1
0.114407013,4.236420792,2,1
0.114588262,1.619054502,2,0
0.116056944,10.55740914,1,1
0.116452265,0.405061144,3,1
0.116584348,0.426063551,3,1
0.116716581,16.32719214,1,1
0.117379968,19.24253478,1,0
0.118071841,0.296377253,3,1
0.11858358,1.978467539,3,1
0.119214058,3.083404423,2,0
0.119592094,4.751391987,2,1
0.119799539,0.352489924,3,1
0.120071455,0.394951425,3,1
0.120071455,67.23962966,1,1
0.120207644,0.498977289,3,1
0.120351768,1.032300675,2,1
0.120418566,1.674023435,3,1
0.12111627,34.91046681,2,0
0.121398183,440.0339855,1,1
0.121885662,8.5067325,2,0
0.122269037,18.76224315,1,1
0.122465889,5.769452813,2,0
0.122854242,1.831958717,2,1
0.123305935,0.20070826,3,1
0.123462644,867.6080232,1,1
0.123522803,13.33813374,1,1
0.123578364,506.6656725,1,1
0.123634647,3.083404423,2,1
0.124789431,0.588073428,3,1
0.124789431,101.3915923,1,1
0.126205379,10.79541597,2,1
0.126605595,3.947658172,2,1
0.126806179,6.822627807,2,1
0.12740984,5.376195771,2,1
0.127537016,0.099402689,3,0
0.127813878,2.494892506,2,0
0.128016377,2.898700758,2,1
0.128376454,212.3636237,1,1
0.128522068,0.693078349,3,0
0.12853773,993.7826265,1,1
0.12899686,3.089040202,1,1
0.129952681,1.481447037,2,0
0.129987257,0.816832688,3,1
0.129987257,14.38885998,1,1
0.130040622,68.0739843,1,1
0.130471547,1.357102316,2,1
0.130577994,20.49768613,1,1
0.130577994,27.76060148,1,1
0.130885298,1.059994331,2,1
0.130885298,5.820590814,2,1
0.131469156,107.3248085,1,0
0.132066631,1.978467539,3,1
0.134242945,3.110734422,2,1
0.135095034,259.9536635,1,1
0.135095727,4.017949072,2,1
0.135248272,0.650638524,3,1
0.136385073,1.508696622,2,1
0.136601158,19.67189441,2,1
0.137034355,61.95339746,2,1
0.137567709,224.7906825,1,1
0.138036372,0.921030148,3,1
0.138931581,867.6080232,1,1
0.13929389,0.492711434,3,1
0.139441626,8.431994847,2,1
0.139610075,4.977268044,3,1
0.139610075,5.903173738,3,1
0.139610075,18.52663822,1,1
0.139889146,0.693284529,3,0
0.139926941,0.892385627,3,1
0.139926941,1.47942528,3,0
0.140240102,26.60063724,1,0
0.141442645,9.128981504,2,1
0.141666747,3.582470787,2,1
0.141891203,1.168047287,2,0
0.141891203,22.25873087,2,1
0.142591949,0.099402689,3,1
0.14281124,1.4747256,3,1
0.142973528,63.12229117,1,1
0.142973528,68.96078745,1,1
0.14383201,480.885504,1,0
0.143949288,91.06454994,1,1
0.144112573,0.573395997,3,1
0.14415543,18.9896259,2,0
0.144841721,12.10768606,2,1
0.145260735,0.974926835,3,1
0.145301063,2.725061306,2,1
0.145342968,1.177937052,3,1
0.146086438,1.892864432,3,1
0.146224161,56.22225301,2,1
0.146247196,0.760235521,3,1
0.146920305,3.711183538,2,1
0.147793471,789.7689441,1,1
0.147853657,2.561823293,2,1
0.147919559,0.308686197,3,0
0.148792941,5.820590814,2,1
0.149501319,33.99838789,2,1
0.149975445,6.883100708,2,1
0.150231031,2.944329387,3,1
0.150470491,5.897444717,2,1
0.150627033,4.196583542,3,1
0.151167351,12.99333699,2,0
0.151311652,2.452641798,3,1
0.151635208,1.562191255,3,1
0.152106153,2.96134201,3,1
0.152171765,16.85127566,1,1
0.152171765,168.0902071,1,1
0.152517155,2.003630755,3,1
0.152894354,1.019916518,3,0
